Field Name,Crop ID,Crop Name,Crop Type,Planting Area,Season,Field Type,Field Area,Field ID,Per Yield,Per Cost,Price,Yield,Cost,Selling,Revenue,Profit
A1,6,小麦,粮食,80.0,第一季,平旱地,80.0,1,800.0,450.0,3.5,64000.0,36000.0,51200.0,179200.0,143200.0
A2,7,玉米,粮食,55.0,第一季,平旱地,55.0,2,1000.0,500.0,3.0,55000.0,27500.0,44000.0,132000.0,104500.0
A3,7,玉米,粮食,35.0,第一季,平旱地,35.0,3,1000.0,500.0,3.0,35000.0,17500.0,28000.0,84000.0,66500.0
A4,1,黄豆,粮食（豆类）,72.0,第一季,平旱地,72.0,4,400.0,400.0,3.25,28800.0,28800.0,23040.0,74880.0,46080.0
A5,4,绿豆,粮食（豆类）,68.0,第一季,平旱地,68.0,5,350.0,350.0,7.0,23800.0,23800.0,19040.0,133280.0,109480.0
A6,8,谷子,粮食,55.0,第一季,平旱地,55.0,6,400.0,360.0,6.75,22000.0,19800.0,17600.0,118800.0,99000.0
B1,6,小麦,粮食,60.0,第一季,梯田,60.0,7,760.0,450.0,3.5,45600.0,27000.0,36480.0,127680.0,100680.0
B2,2,黑豆,粮食（豆类）,46.0,第一季,梯田,46.0,8,475.0,400.0,7.5,21850.0,18400.0,17480.0,131100.0,112700.0
B3,3,红豆,粮食（豆类）,40.0,第一季,梯田,40.0,9,380.0,350.0,8.25,15200.0,14000.0,12160.0,100320.0,86320.0
B4,4,绿豆,粮食（豆类）,28.0,第一季,梯田,28.0,10,330.0,350.0,7.0,9240.0,9800.0,7392.0,51744.0,41944.0
B5,5,爬豆,粮食（豆类）,25.0,第一季,梯田,25.0,11,395.0,350.0,6.75,9875.0,8750.0,7900.0,53325.0,44575.0
B6,8,谷子,粮食,86.0,第一季,梯田,86.0,12,380.0,360.0,6.75,32680.0,30960.0,26144.0,176472.0,145512.0
B7,6,小麦,粮食,55.0,第一季,梯田,55.0,13,760.0,450.0,3.5,41800.0,24750.0,33440.0,117040.0,92290.0
B8,8,谷子,粮食,44.0,第一季,梯田,44.0,14,380.0,360.0,6.75,16720.0,15840.0,13376.0,90288.0,74448.0
B9,9,高粱,粮食,50.0,第一季,梯田,50.0,15,600.0,400.0,6.0,30000.0,20000.0,24000.0,144000.0,124000.0
B10,10,黍子,粮食,25.0,第一季,梯田,25.0,16,500.0,360.0,7.5,12500.0,9000.0,10000.0,75000.0,66000.0
B11,1,黄豆,粮食（豆类）,60.0,第一季,梯田,60.0,17,380.0,400.0,3.25,22800.0,24000.0,18240.0,59280.0,35280.0
B12,7,玉米,粮食,45.0,第一季,梯田,45.0,18,950.0,500.0,3.0,42750.0,22500.0,34200.0,102600.0,80100.0
B13,14,莜麦,粮食,35.0,第一季,梯田,35.0,19,400.0,400.0,5.5,14000.0,14000.0,11200.0,61600.0,47600.0
B14,15,大麦,粮食,20.0,第一季,梯田,20.0,20,500.0,350.0,3.5,10000.0,7000.0,8000.0,28000.0,21000.0
C1,11,荞麦,粮食,15.0,第一季,山坡地,15.0,21,100.0,350.0,40.0,1500.0,5250.0,1200.0,48000.0,42750.0
C2,12,南瓜,粮食,13.0,第一季,山坡地,13.0,22,2700.0,1000.0,1.5,35100.0,13000.0,28080.0,42120.0,29120.0
C3,1,黄豆,粮食（豆类）,15.0,第一季,山坡地,15.0,23,360.0,400.0,3.25,5400.0,6000.0,4320.0,14040.0,8040.0
